Question_ID,Question,Status_Id,creation_date,created_by,user_id,pdf_uploaded_id,is_public,notes,tags,isdeleted,userid,ispublic,isdeleted
98,TA 1,NULL,28/01/2020,NULL,7,41,0,TA 1,TELUGUacedemy,NULL,NULL,NULL,NULL
99,TA 2,NULL,28/01/2020,NULL,21,41,0,TA,TA,1,NULL,NULL,NULL
100,TA 3,NULL,28/01/2020,NULL,7,41,0,TA 3,TELUGUacedemy,NULL,NULL,NULL,NULL
101,FIsheries,NULL,28/01/2020,NULL,21,41,0,NULL,0,NULL,NULL,NULL,NULL
102,FIsheries,NULL,28/01/2020,NULL,21,41,0,NULL,0,1,NULL,NULL,NULL
103,List of prosthodontics professors,NULL,28/01/2020,NULL,21,65,0,NULL,0,NULL,NULL,NULL,NULL
104,Doctors,NULL,28/01/2020,NULL,21,65,0,NULL,0,NULL,NULL,NULL,NULL
105,Doctor,NULL,28/01/2020,NULL,21,112,0,dr,0,1,NULL,NULL,NULL
106,Doctor,NULL,28/01/2020,NULL,21,112,0,dr,0,1,NULL,NULL,NULL
107,nurse,NULL,28/01/2020,NULL,21,112,0,nurse,0,NULL,NULL,NULL,NULL
108,Advises from doctor!..,NULL,29/01/2020,NULL,21,36,0,Notes from doctor,notes,1,NULL,NULL,NULL
109,Advises from doctor!..,NULL,29/01/2020,NULL,21,36,0,Notes from doctor,notes,NULL,NULL,NULL,NULL
110,Advises from doctor!..,NULL,29/01/2020,NULL,21,36,0,Notes from doctor,notes,NULL,NULL,NULL,NULL
111,DCA Inspections,NULL,29/01/2020,NULL,21,34,0,inspections in dca,0,NULL,NULL,NULL,NULL
112,Address,NULL,29/01/2020,NULL,21,134,0,address,address,NULL,NULL,NULL,NULL
113,designation,NULL,29/01/2020,NULL,21,134,0,desig,0,NULL,NULL,NULL,NULL
114,designation,NULL,29/01/2020,NULL,21,134,0,desig,0,NULL,NULL,NULL,NULL
115,Address 1,NULL,29/01/2020,NULL,21,134,0,designation 1,address,NULL,NULL,NULL,NULL
116,designation ,NULL,29/01/2020,NULL,21,134,0,designation 1,address,NULL,NULL,NULL,NULL
117,designation ,NULL,29/01/2020,NULL,21,134,0,designation 1,address,NULL,NULL,NULL,NULL
118,JAVA overview?,NULL,30/01/2020,NULL,21,143,0,JAVA,"Java,overview",NULL,NULL,NULL,NULL
119,Explain local environments setup?,NULL,30/01/2020,NULL,21,143,0,local environments setup?,"setup,Java,environments",NULL,NULL,NULL,NULL
120,Application are submitted to the community development office.,NULL,31/01/2020,NULL,13,154,0,review and completeness and eligibility.,0,NULL,NULL,NULL,NULL
121,Income document details,NULL,31/01/2020,NULL,13,154,0,Income document details,0,NULL,NULL,NULL,NULL
122,Income document details,NULL,31/01/2020,NULL,13,154,0,Income document details,0,NULL,NULL,NULL,NULL
123,article 'an',NULL,31/01/2020,NULL,6,24,0,an,an,NULL,NULL,NULL,NULL
124,exam,NULL,31/01/2020,NULL,6,24,0,an,an,NULL,NULL,NULL,NULL
125,hgg,NULL,03/02/2020,NULL,23,157,0,ggg,0,NULL,NULL,NULL,NULL
126,What is cancer?,NULL,05/02/2020,NULL,6,35,0,NULL,0,NULL,NULL,NULL,NULL
127,what is MCF-7?,NULL,05/02/2020,NULL,6,26,0,MCF-7,MCF,NULL,NULL,NULL,NULL
128,write about MCF-7,NULL,05/02/2020,NULL,6,26,0,MCF-7,mcf,NULL,NULL,NULL,NULL
129,what are Lichens.,NULL,05/02/2020,NULL,6,26,0,Lichens,Lichens,NULL,NULL,NULL,NULL
130,care to be taken by pregnent women,NULL,06/02/2020,NULL,6,135,0,zika virus preventions,"zika,virus",NULL,NULL,NULL,NULL
131,What is this article about >?,NULL,07/02/2020,NULL,12,38,0,dsds,0,1,NULL,NULL,NULL
132,PRNT Process for Zika Virus,NULL,07/02/2020,NULL,6,135,0,PRNT Process,Zika,NULL,NULL,NULL,NULL
133,Abstract about Automation of human management.,NULL,07/02/2020,NULL,6,139,0,Human Management,Humanmanagement,1,NULL,NULL,NULL
134,what is zika virus,NULL,07/02/2020,NULL,6,135,0,about the efforts ,Efforts,NULL,NULL,NULL,NULL
135,what is adolescent and young adult cancer?,NULL,07/02/2020,NULL,6,164,0,adolescent,adoloscent,NULL,NULL,NULL,NULL
136,MNR college,NULL,08/02/2020,NULL,25,165,0,College,"college,hospital,Mnr",NULL,NULL,NULL,NULL
137,MNR college,NULL,08/02/2020,NULL,25,165,0,College,"college,hospital,Mnr",NULL,NULL,NULL,NULL
138,MNR college,NULL,08/02/2020,NULL,25,165,0,College,"college,hospital,Mnr",1,NULL,NULL,NULL
139,AP Medical council,NULL,08/02/2020,NULL,25,165,0,Assistant professor,Anaesthesia,1,NULL,NULL,NULL
140,why java plat from independent?,NULL,08/02/2020,NULL,25,173,0,Java platfeom ind,0,NULL,NULL,NULL,NULL
141,simple,NULL,08/02/2020,NULL,25,173,0,simple java ,0,NULL,NULL,NULL,NULL
142,why java is distributed environment?,NULL,08/02/2020,NULL,25,173,0,NULL,0,NULL,NULL,NULL,NULL
143,Dymanic java,NULL,08/02/2020,NULL,25,173,0,Dymanic java,"java,dynamic,run-time",NULL,NULL,NULL,NULL
144,Dymanic java,NULL,08/02/2020,NULL,25,173,0,Dymanic java,"java,dynamic,run-time",NULL,NULL,NULL,NULL
145,New question,NULL,09/02/2020,NULL,12,38,0,"hey  have  a  daily  fasting  period  of  up  to  20  hours,  during  which  ketogenesis  occurs",fasting,1,NULL,NULL,NULL
146,what is pdf?,NULL,10/02/2020,NULL,17,102,0,note123,0,NULL,NULL,NULL,NULL
147,What is PDF?,NULL,10/02/2020,NULL,17,102,0,Meaning of PDF,0,NULL,NULL,NULL,NULL
148,What is else?,NULL,10/02/2020,NULL,17,113,0,meaning of else,0,NULL,NULL,NULL,NULL
149,DOC shows images?,NULL,10/02/2020,NULL,17,114,0,when open DOC.,0,1,NULL,NULL,NULL
150,How to mission working?,NULL,10/02/2020,NULL,17,120,0,Device Intergration,0,1,NULL,NULL,NULL
151,Documents ?,NULL,11/02/2020,NULL,17,120,0,Docs,0,NULL,NULL,NULL,NULL
152,Requirements  saved?,NULL,11/02/2020,NULL,17,120,0,req,0,1,NULL,NULL,NULL
153,solution?there,NULL,11/02/2020,NULL,17,114,0,NULL,0,NULL,NULL,NULL,NULL
154,Pdf number?  how to increment?,NULL,11/02/2020,NULL,17,120,0,The pdf995 suite of products,0,1,NULL,NULL,NULL
155,required things?,NULL,11/02/2020,NULL,17,120,0,documents and add digital signatures,0,1,NULL,NULL,NULL
156,Effects found in the literature?,NULL,11/02/2020,NULL,6,139,0,NULL,literature,1,NULL,NULL,NULL
157,what is application?,NULL,12/02/2020,NULL,17,120,0,"any application, creating",0,1,NULL,NULL,NULL
158,pdg995?,NULL,12/02/2020,NULL,17,120,0,Automatic insertion of embedded links,0,1,NULL,NULL,NULL
159,History of Internet?,NULL,12/02/2020,NULL,17,120,0,"The history of the development,without any clear sense of ""what went where"",access to Internet was",0,1,NULL,NULL,NULL
160,Pdf Mean?,NULL,12/02/2020,NULL,17,120,0,Automatic text summarization of PDF ,0,1,NULL,NULL,NULL
161,tables and sessions?,NULL,12/02/2020,NULL,17,125,0,Automatic Table of Contents generation Support for XP Fast User Switching and multiple user sessions,0,1,NULL,NULL,NULL
162,how many Enterprise ?,NULL,12/02/2020,NULL,17,125,0,"Free: Fully functional, not a trial and does not expire Over 5 million satisfied customers Over 1000 Enterprise Customers worldwide",0,1,NULL,NULL,NULL
163,effects of virus?,NULL,12/02/2020,NULL,17,127,0,"8CHAPTER 1.  TEMPLATEHyperlinksThis is a target.And this is a link.Dashes, etc.There are three kinds of horizontal dash:•- (use inside words; for example “home-page”, “X-rated”)•- (use this one between numbers; for example “pages 2-22”)•— (use this one as a sentence separator — like here)National characters•ó, é, í, . . .•è, à, ì, . . .•ô, ê, . . .•õ, ñ, . . .•ö, ë, . . .• ?z• ?a,  ?e•l, ø, ßThere are other ways to do this, see the documentation forinputencpack-age.Reserved charactersSome characters have some special meaning, thus cannot be entered in the usualway.•$ & % # _ { }•\• ~ ˆ8CHAPTER 1.  TEMPLATEHyperlinksThis is a target.And this is a link.Dashes, etc.There are three kinds of horizontal dash:•- (use inside words; for example “home-page”, “X-rated”)•- (use this one between numbers; for example “pages 2-22”)•— (use this one as a sentence separator — like here)National characters•ó, é, í, . . .•è, à, ì, . . .•ô, ê, . . .•õ, ñ, . . .•ö, ë, . . .• ?z• ?a,  ?e•l, ø, ßThere are other ways to do this, see the documentation forinputencpack-age.",0,NULL,NULL,NULL,NULL
164,The main document,NULL,12/02/2020,NULL,17,127,0,"Choose the name of the document, saydocument.  Copytemplate.textodocument.tex,  then  edit  it,  change  the  title,  the  authors  and  set  proper  in-clude(s) for all the chapters",0,NULL,NULL,NULL,NULL
165,What is this,NULL,12/02/2020,NULL,12,38,0,NULL,"fasting,intermitten,fasting,intermitten",1,NULL,NULL,NULL
166,What is this,NULL,12/02/2020,NULL,12,38,0,NULL,"fasting,intermitten,fasting,intermitten",1,NULL,NULL,NULL
167,Wikipedia model?,NULL,12/02/2020,NULL,17,179,0,"The   Roach   story   contained   a   number   of   inconsistencies: some of it seems to be directly sourced  from  Wikipedia-  all  in  all,  an  entirely  untrustworthy source",0,NULL,NULL,NULL,NULL
168,history of this?,NULL,12/02/2020,NULL,17,179,0,"For  the  past  two  years,  we  have  collected  this  writing  on  our  blog,  [Citation  Needed].    Fascinated  and  delighted  by  the  brilliantly  bad  writing  we  encountered  in  our  Wikipedia  browsing, we set out to curate The Best of Wikipedia’s Worst Writing. Starting the blog was a no-brainer; our only concern was whether, after a few months of our daily mining,",0,1,NULL,NULL,NULL
169,asdsadf,NULL,12/02/2020,NULL,17,179,0," saw the Beavis and Butt-Head episode that had Hogan’s “Real American” music on there. I don’t quite remembering it being critiqued by Beavis and Butt-Head. They sounded more like they liked the music and I don’t really remember any criticism of it (except for when it was going, when Butt-Head said “homework sucks”, but I’m not quite sure if he was referring to music or not)",0,1,NULL,NULL,NULL
170,Pdf995,NULL,13/02/2020,NULL,17,125,0,"Pdf995 makes it easy and affordable to create professional-quality documents in the popular PDF file format. Its easy-to-use interface helps you to create PDF files by simply selecting the ""print"" command from any application, creating documents which can be viewed on any computer with a PDF viewer. Pdf995 supports network file saving, fast user switching on XP, Citrix/Terminal Server, custom page sizes and large format printing. Pdf995 is a printer driver that works with any Postscript to PDF converter. The pdf995 printer driver and a free Converter are available for easy download",0,NULL,NULL,NULL,NULL
171, main document?,NULL,14/02/2020,NULL,17,129,0,"Choose the name of the document, saydocument.  Copytemplate.textodocument.tex,  then  edit  it,  change  the  title,  the  authors  and  set  proper  in-clude(s) for all the chapters",0,NULL,NULL,NULL,NULL
172,someing,NULL,17/02/2020,NULL,17,125,0,"The Pdf995 Suite offers the following features, all at no cost:,The Pdf995 Suite offers the following features, all at no cost:",0,NULL,NULL,NULL,NULL
173,sample question?,NULL,17/02/2020,NULL,17,125,0," is a complete solution for your document publishing needs, is a complete solution for your document publishing needs",0,1,NULL,NULL,NULL
174,Testing Question?,NULL,17/02/2020,NULL,17,125,0,"I need to make an effort to remember it at al,I need to make an effort to remember it at al",0,1,NULL,NULL,NULL
175,test question1,NULL,18/02/2020,NULL,17,125,0," Pdf995 supports network file saving, fast user switching on XP, Pdf995 supports network file saving, fast user switching on XP",0,NULL,NULL,NULL,NULL
176,sample 2,NULL,18/02/2020,NULL,17,125,0,"Pdf995, PdfEdit995, and Signature995 ,TheVirtual Reality Modeling Language(VRML) ,The history of the development of the Internet has had three distinct phases",0,NULL,NULL,NULL,NULL
177,sample3,NULL,18/02/2020,NULL,17,125,0,combining documents into a single PDF;,0,NULL,NULL,NULL,NULL
178,sample,NULL,18/02/2020,NULL,17,176,0,"acroread(a PDF viewer, available fromhttp://www.adobe.com/)",0,NULL,NULL,NULL,NULL
179,sample,NULL,18/02/2020,NULL,17,176,0,Very useful informations can be found ,0,NULL,NULL,NULL,NULL
180,example question?,NULL,18/02/2020,NULL,17,179,0,All material in this book that is taken from Wikipedia is licensed under the Creative Commons-Attribution  Share  Alike  3.0  license.    Here’s  a  quick  human-readable  summary of your rights to use this content,0,NULL,NULL,NULL,NULL
181,speii,NULL,18/02/2020,NULL,17,176,0,"Douse a spell-checker, please!",0,NULL,NULL,NULL,NULL
182,sample question?,NULL,18/02/2020,NULL,17,178,0, makes it easy and affordable to create professional-quality documents,0,NULL,NULL,NULL,NULL
183,sample testing,NULL,18/02/2020,NULL,17,178,0," Pdf995, PdfEdit995, and Signature995,combining documents into a single PDF,your documents and add digital signatures.",0,NULL,NULL,NULL,NULL
184,sample,NULL,18/02/2020,NULL,17,178,0, protect your documents and add digital signatures,0,NULL,NULL,NULL,NULL
185,sample,NULL,18/02/2020,NULL,17,177,0,"efaxpackage could be useful, if you plan to fax documents.,texfiles in one directory, then chdir to the directory,acroreadmay produce PostScript which is too complex)",0,NULL,NULL,NULL,NULL
186,sample1,NULL,18/02/2020,NULL,17,177,0,"Choose the name of the document, the  authors  and  set  proper  in-clude(s) for all the chapters",0,NULL,NULL,NULL,NULL
187,sample 1,NULL,18/02/2020,NULL,17,184,0," Pdf995, PdfEdit995, and Signature995 - is a complete solution for your document publishing needs. It provides ease of use, flexibility in format, and industry-standard security- and all at no cost to you.,combining documents into a single PDF,offers state-of-the-art security and encryption to protect your documents and add digital signatures.",0,NULL,NULL,NULL,NULL
188,sample 2,NULL,18/02/2020,NULL,17,184,0,"TheVirtual Reality Modeling Language(VRML) is a language for describing multi-participant interactive simulations -- virtual worlds networked via the global Internet andhyperlinked with the World Wide Web. All aspects of virtual world display, interactionand internetworking can be specified using VRML. It is the intention of its designers thatVRML become the standard language for interactive simulation within the World WideWeb",0,NULL,NULL,NULL,NULL
189,sample3,NULL,18/02/2020,NULL,17,184,0,"create professional-quality documents in the popular PDF file format.,Pdf995 supports network file saving, fast user switching on XP",0,1,NULL,NULL,NULL
190,sample,NULL,19/02/2020,NULL,17,184,0,The pdf995 suite of products ,0,1,NULL,NULL,NULL
191,what is clinical,NULL,20/02/2020,NULL,27,185,0,ram,charan,1,NULL,NULL,NULL
192,result,NULL,20/02/2020,NULL,27,186,0,gram,gcharan,NULL,NULL,NULL,NULL
193,What is thyroid profile? ,NULL,20/02/2020,NULL,27,186,0,td,tds,NULL,NULL,NULL,NULL
194,sample,NULL,20/02/2020,NULL,17,187,0,"Trace-based Just-in-Time, Type Specialization",0,NULL,NULL,NULL,NULL
195,test?,NULL,20/02/2020,NULL,27,188,0,somu,res3,NULL,NULL,NULL,NULL
196,semi?,NULL,20/02/2020,NULL,27,185,0,rams,"ramulu,soma",1,NULL,NULL,NULL
197,introduction to java,NULL,20/02/2020,NULL,27,189,0,java fundamentals,"fundamentals,java",NULL,NULL,NULL,NULL
198,java editions,NULL,20/02/2020,NULL,27,189,0,jee,jee,NULL,NULL,NULL,NULL
199,datatype,NULL,20/02/2020,NULL,27,189,0,int,"int,char",NULL,NULL,NULL,NULL
200,String class,NULL,20/02/2020,NULL,27,189,0,class,"string,Stringclass",NULL,NULL,NULL,NULL
201,Critical components of Error management?,NULL,21/02/2020,NULL,6,139,0,"One critical component of error management that has thus far been understated or absent in the literature to date is the process of integration. Integration describes the process of learning that occurs as a result of experiencing automation errors or failures. This exposure may give the human more detailed information regarding the automation’s capabilities and limitations, circumstances under which errors may be more likely to occur, and heuristics that may lead to quicker error correction","literature,capabilities",1,NULL,NULL,NULL
202,what is variable declartion? ,NULL,21/02/2020,NULL,27,189,0,identifier,data,NULL,NULL,NULL,NULL
203,what is automation?,NULL,21/02/2020,NULL,6,139,0,Automation has the potential to aid humans with a diverse set of tasks and support overall system performance.,0,1,NULL,NULL,NULL
204,Escape sequences,NULL,21/02/2020,NULL,28,189,0,seq,escape,NULL,NULL,NULL,NULL
205,where?,NULL,21/02/2020,NULL,27,190,0,jaaaavvvaaa,jaaaa,NULL,NULL,NULL,NULL
206,there,NULL,21/02/2020,NULL,27,190,0,prog,pr,NULL,NULL,NULL,NULL
207,there,NULL,21/02/2020,NULL,27,190,0,prog,pr,NULL,NULL,NULL,NULL
208,there,NULL,21/02/2020,NULL,27,190,0,prog,pr,NULL,NULL,NULL,NULL
209,there,NULL,21/02/2020,NULL,27,190,0,prog,pr,NULL,NULL,NULL,NULL
